# RotX(deg) RotY(deg) RotZ(deg) RotYY(deg) RotZZ(deg) Distance(A)
-68.8886 -25.5604 -42.1435 -7.60348 -18.9463 4.77772
-84.5962 -5.89144 -26.184 1.17582 -16.6035 4.82993
-91.4382 -13.9106 -22.2647 -0.956251 -15.3283 4.83455
-72.9272 -23.1902 -28.7268 -16.5826 -18.03 4.8244
-66.5797 -30.357 -35.9429 -17.9572 -18.1437 4.90431
-68.1269 -26.5697 -29.8176 -15.5627 -18.6585 4.92134
-84.7335 -20.8929 -23.8911 -14.1313 -18.7516 4.78817
-83.4966 -18.8066 -29.1719 -5.16088 -16.2699 4.80445
-73.9865 -16.0784 -34.4848 -6.62365 -19.16 4.81617
-75.3712 -32.9411 -28.6205 -17.5119 -19.2005 4.80574
-86.6022 -31.1193 -31.2344 -10.2108 -17.3789 4.81694
-84.4425 -31.1512 -21.2221 -8.76617 -17.3295 4.78333
-86.6635 -12.0721 -28.9362 3.32025 -13.6289 4.85924
-69.9534 -16.0036 -22.851 -12.3157 -13.871 4.83949
-72.0163 -11.8519 -37.1452 -15.0296 -20.9054 4.71482
-99.8689 -11.8523 -33.6918 5.63918 -18.9733 4.82599
-72.6725 -5.38794 -34.4768 -0.235841 -17.8154 4.83342
-73.663 -32.8291 -32.2913 -14.3727 -21.6456 4.7664
-88.2565 2.40656 -25.4091 4.64229 -18.2023 4.76149
-76.9164 -25.762 -26.5254 -7.40652 -15.3673 4.83498
-83.4995 -15.7021 -30.3072 -10.1716 -20.0575 4.82874
-71.9303 -21.1654 -33.7105 -9.78215 -16.0996 4.8513
-72.7818 -18.8918 -34.9509 -11.3739 -18.2208 4.91697
-82.2024 -3.41752 -23.3153 4.9716 -16.9823 4.82461
-83.4083 -25.2565 -30.8643 -10.7583 -16.3473 4.8521
-113.058 18.7791 -27.9515 20.4699 -17.1556 4.78352
-61.7043 -34.9545 -40.205 -18.5431 -19.5893 4.80909
-62.7166 -10.8359 -32.3037 -8.87086 -18.1324 4.88422
-77.5956 -21.517 -33.3898 -8.42467 -17.4816 4.83257
-65.8962 -34.91 -41.611 -21.2536 -19.3927 4.80731
-88.9935 -14.9075 -29.4475 -6.11545 -16.4931 4.96031
-82.9269 -17.4677 -29.9418 -3.71041 -19.0698 4.79298
-80.6143 -5.38398 -24.325 1.08809 -13.7296 4.75641
-64.1796 -37.4718 -45.1228 -21.6015 -21.5444 4.82801
-80.4292 -7.55097 -30.0783 -2.10256 -18.3073 4.77773
-62.0651 -25.4139 -32.0338 -8.23874 -16.6525 4.77593
-77.0892 -13.2807 -21.6027 -14.4993 -17.439 4.72321
-72.3503 -14.5379 -26.009 -6.88254 -15.7044 4.82222
-53.7922 -35.9756 -41.7874 -19.0148 -16.6173 4.76381
-77.7481 -24.0469 -33.9111 -7.70882 -18.0651 4.79802
-78.8685 -20.1933 -36.6195 -13.3023 -19.2093 4.82065
-77.4151 -18.1981 -21.9589 -7.50536 -18.7572 4.78396
-71.8505 -18.1844 -31.6919 -10.6765 -14.4315 4.79049
-89.8857 6.69522 -33.1778 11.4915 -17.6939 4.83296
-74.7521 -25.8933 -29.3743 -11.0497 -18.5714 4.89322
-60.5421 -25.6867 -42.2281 -16.6279 -21.8948 4.80502
-84.5065 -41.291 -37.4488 -19.1097 -21.583 4.7738
-81.8072 7.44492 -34.9177 7.84038 -17.4519 4.78743
-72.2987 -31.076 -31.7968 -14.514 -18.6729 4.78729
-83.5013 -17.3953 -32.0635 -9.87274 -18.4064 4.75274
-81.3312 -22.0786 -37.6385 -12.6454 -19.5201 4.82482
-82.3047 -16.2562 -32.3467 -2.24737 -18.0115 4.80357
-70.083 -39.1715 -47.5952 -18.0039 -21.9193 4.82661
-77.2015 -19.9301 -35.3662 -11.5136 -20.4488 4.87045
-68.8931 -28.0823 -37.8196 -12.6465 -20.0539 4.79262
-84.361 -27.2248 -25.3473 -11.6846 -17.8444 4.82973
-76.1552 -19.6365 -30.8668 -9.60299 -19.6154 4.91888
-68.0396 -27.0569 -27.0338 -19.0861 -20.7029 4.85544
-73.3568 -24.0871 -33.2499 -12.0616 -21.0587 4.86983
-82.5695 -10.5812 -26.4562 -4.91174 -13.9809 4.82165
-86.7675 5.0782 -28.9797 4.28157 -19.2577 4.74921
-77.8925 -18.514 -23.399 -8.15722 -13.5415 4.8269
-82.1252 -5.26693 -27.3248 -5.29151 -18.1408 4.75527
-66.3457 -26.52 -32.7716 -15.2176 -19.1825 4.9194
-63.482 -24.6395 -34.8425 -18.4693 -19.7978 4.84031
-71.3886 -24.813 -37.8604 -6.84031 -17.9419 4.80056
-80.4172 -5.53625 -26.0653 -6.01004 -17.1575 4.85384
-78.5807 2.20487 -29.0801 2.88881 -15.048 4.76593
-80.4912 -26.6187 -33.0378 -13.7448 -17.5992 4.83068
-81.5681 -17.3103 -29.8764 -8.04435 -19.642 4.80618
-82.8682 -8.70839 -35.4706 -1.07624 -18.6553 4.91828
-84.8086 -19.5599 -28.1013 -11.1607 -16.9659 4.84359
-77.6755 -17.9385 -27.777 -10.9638 -16.4147 4.77918
-76.4526 -19.0969 -32.0285 -6.42647 -16.6746 4.88132
-67.3398 -7.77878 -23.5003 -1.86385 -13.7934 4.79258
-77.8874 -20.589 -24.3476 -5.24351 -14.6888 4.83271
